序号,项目序号,编号,名称,类别,公布时间,类型,申报地区或单位,保护单位
1,224,Ⅳ-80,藏戏(拉萨觉木隆),传统戏剧,2006(第一批),新增项目,西藏自治区,西藏自治区文化厅
2,224,Ⅳ-80,藏戏(日喀则迥巴),传统戏剧,2006(第一批),新增项目,西藏自治区,西藏自治区文化厅
3,224,Ⅳ-80,藏戏(日喀则南木林湘巴),传统戏剧,2006(第一批),新增项目,西藏自治区,西藏自治区文化厅
4,224,Ⅳ-80,藏戏(日喀则仁布江嘎尔),传统戏剧,2006(第一批),新增项目,西藏自治区,西藏自治区文化厅
5,224,Ⅳ-80,藏戏(山南雅隆扎西雪巴),传统戏剧,2006(第一批),新增项目,西藏自治区,西藏自治区文化厅
6,224,Ⅳ-80,藏戏(山南琼结卡卓扎西宾顿),传统戏剧,2006(第一批),新增项目,西藏自治区,西藏自治区文化厅
7,224,Ⅳ-80,藏戏(尼木塔荣藏戏),传统戏剧,2011(第三批),扩展项目,西藏自治区尼木县,尼木文化旅游新闻出版广电局(尼木县文物局)
8,225,Ⅳ-81,山南门巴戏,传统戏剧,2006(第一批),新增项目,西藏自治区,西藏错那县文化局(文物局)
9,1424,Ⅳ-170,巴贡(霞尔巴贡),传统戏剧,2021(第五批),新增项目,西藏自治区日喀则市,萨迦县文化和旅游局(萨迦县文物局)
